file,row_index,customer_id,field,original_value,degraded_value,category,reason
customers,11590,C140865,phone,+90 588 801 6748,NULL,missing_data,Random null injection (6%)
customers,87947,C396534,phone,+49 176 6615188,NULL,missing_data,Random null injection (6%)
customers,81501,C622084,phone,+90 525 611 5643,NULL,missing_data,Random null injection (6%)
customers,19780,C169870,phone,+90 561 861 9179,NULL,missing_data,Random null injection (6%)
customers,4066,C180532,phone,+90 517 514 7742,NULL,missing_data,Random null injection (6%)
customers,96526,C920669,phone,+90 559 130 3158,NULL,missing_data,Random null injection (6%)
customers,58667,C156083,phone,+90 593 421 5260,NULL,missing_data,Random null injection (6%)
customers,28892,C252432,phone,+90 529 789 1920,NULL,missing_data,Random null injection (6%)
customers,45661,C282897,phone,+1 902-839-3710,NULL,missing_data,Random null injection (6%)
customers,91364,C234495,phone,+90 502 966 2160,NULL,missing_data,Random null injection (6%)
customers,39210,C169013,phone,+90 571 446 8353,NULL,missing_data,Random null injection (6%)
customers,56962,C269438,phone,+90 554 808 6164,NULL,missing_data,Random null injection (6%)
customers,92522,C166950,phone,+90 571 180 8816,NULL,missing_data,Random null injection (6%)
customers,13908,C262526,phone,+49 169 6435422,NULL,missing_data,Random null injection (6%)
customers,69387,C217963,phone,+90 564 204 5163,NULL,missing_data,Random null injection (6%)
customers,61426,C553778,phone,+90 571 968 6605,NULL,missing_data,Random null injection (6%)
customers,44849,C176391,phone,+90 548 104 3300,NULL,missing_data,Random null injection (6%)
customers,63595,C759432,phone,+90 516 137 1105,NULL,missing_data,Random null injection (6%)
customers,24919,C217017,phone,+90 516 688 8504,NULL,missing_data,Random null injection (6%)
customers,18235,C447516,phone,+90 594 227 8111,NULL,missing_data,Random null injection (6%)
customers,87703,C455730,phone,+90 510 759 6235,NULL,missing_data,Random null injection (6%)
customers,1455,C463587,phone,+49 178 1846511,NULL,missing_data,Random null injection (6%)
customers,17450,C943599,phone,+90 553 766 8015,NULL,missing_data,Random null injection (6%)
customers,69876,C343037,phone,+90 598 711 8146,NULL,missing_data,Random null injection (6%)
customers,51898,C236515,phone,+49 162 7449596,NULL,missing_data,Random null injection (6%)
customers,94311,C271572,phone,+90 598 699 1756,NULL,missing_data,Random null injection (6%)
customers,76923,C123368,phone,+90 537 159 3437,NULL,missing_data,Random null injection (6%)
customers,17234,C122418,phone,+90 586 183 1283,NULL,missing_data,Random null injection (6%)
customers,89006,C620927,phone,+49 171 1878616,NULL,missing_data,Random null injection (6%)
customers,92470,C150954,phone,+90 568 364 2187,NULL,missing_data,Random null injection (6%)
customers,3393,C111646,phone,+90 559 429 3230,NULL,missing_data,Random null injection (6%)
customers,16646,C260305,phone,+90 523 586 6088,NULL,missing_data,Random null injection (6%)
customers,15533,C995810,phone,+1 965-985-4255,NULL,missing_data,Random null injection (6%)
customers,96257,C292187,phone,+1 898-777-6185,NULL,missing_data,Random null injection (6%)
customers,13437,C285743,phone,+90 525 667 3821,NULL,missing_data,Random null injection (6%)
customers,98643,C211136,phone,+90 555 162 5070,NULL,missing_data,Random null injection (6%)
customers,95883,C519988,phone,+90 509 453 8137,NULL,missing_data,Random null injection (6%)
customers,23398,C120248,phone,+90 529 633 1099,NULL,missing_data,Random null injection (6%)
customers,57834,C113578,phone,+1 620-299-8693,NULL,missing_data,Random null injection (6%)
customers,36013,C247454,phone,+90 551 737 7224,NULL,missing_data,Random null injection (6%)
customers,26984,C331986,phone,+90 588 240 2468,NULL,missing_data,Random null injection (6%)
customers,30988,C834319,phone,+90 549 354 2920,NULL,missing_data,Random null injection (6%)
customers,10971,C452106,phone,+90 556 545 8499,NULL,missing_data,Random null injection (6%)
customers,73919,C166794,phone,+90 502 269 5280,NULL,missing_data,Random null injection (6%)
customers,34253,C305257,phone,+90 526 842 9530,NULL,missing_data,Random null injection (6%)
customers,9518,C307578,phone,+90 544 160 2609,NULL,missing_data,Random null injection (6%)
customers,96647,C116640,phone,+90 568 137 9450,NULL,missing_data,Random null injection (6%)
customers,4532,C454238,phone,+90 536 535 3825,NULL,missing_data,Random null injection (6%)
customers,61809,C248771,phone,+90 553 573 7662,NULL,missing_data,Random null injection (6%)
customers,44241,C247764,phone,+90 516 481 4941,NULL,missing_data,Random null injection (6%)
customers,54222,C227883,phone,+90 535 549 1568,NULL,missing_data,Random null injection (6%)
customers,58635,C201265,phone,+90 548 141 9578,NULL,missing_data,Random null injection (6%)
customers,10837,C292460,phone,+90 563 768 9102,NULL,missing_data,Random null injection (6%)
customers,93332,C184332,phone,+90 551 133 4524,NULL,missing_data,Random null injection (6%)
customers,72687,C248267,phone,+90 523 996 2308,NULL,missing_data,Random null injection (6%)
customers,15538,C787550,phone,+90 514 760 2224,NULL,missing_data,Random null injection (6%)
customers,76871,C125321,phone,+90 519 338 9759,NULL,missing_data,Random null injection (6%)
customers,46910,C146361,phone,+90 547 376 4313,NULL,missing_data,Random null injection (6%)
customers,61884,C566996,phone,+90 596 506 5689,NULL,missing_data,Random null injection (6%)
customers,97097,C594587,phone,+1 354-492-9829,NULL,missing_data,Random null injection (6%)
customers,85324,C249438,phone,+90 528 644 5124,NULL,missing_data,Random null injection (6%)
customers,89238,C868347,phone,+90 517 665 5934,NULL,missing_data,Random null injection (6%)
customers,11470,C319830,phone,+90 592 498 2573,NULL,missing_data,Random null injection (6%)
customers,66913,C111910,phone,+90 579 827 9491,NULL,missing_data,Random null injection (6%)
customers,3079,C307381,phone,+49 170 1279750,NULL,missing_data,Random null injection (6%)
customers,37517,C143606,phone,+1 907-984-1475,NULL,missing_data,Random null injection (6%)
customers,28113,C318405,phone,+90 546 488 3510,NULL,missing_data,Random null injection (6%)
customers,15932,C318437,phone,+1 720-729-3879,NULL,missing_data,Random null injection (6%)
customers,36511,C330059,phone,+90 559 181 6571,NULL,missing_data,Random null injection (6%)
customers,34462,C139340,phone,+90 533 139 1077,NULL,missing_data,Random null injection (6%)
customers,46639,C276176,phone,+90 506 544 4436,NULL,missing_data,Random null injection (6%)
customers,26587,C270557,phone,+90 500 356 3785,NULL,missing_data,Random null injection (6%)
customers,12358,C263665,phone,+1 473-374-5735,NULL,missing_data,Random null injection (6%)
customers,24265,C425188,phone,+90 590 786 8135,NULL,missing_data,Random null injection (6%)
customers,74119,C118914,phone,+90 506 913 1589,NULL,missing_data,Random null injection (6%)
customers,70417,C104008,phone,+49 167 1741710,NULL,missing_data,Random null injection (6%)
customers,39665,C105039,phone,+90 588 613 9885,NULL,missing_data,Random null injection (6%)
customers,92703,C523266,phone,+90 589 976 4708,NULL,missing_data,Random null injection (6%)
customers,66518,C175798,phone,+90 558 786 1977,NULL,missing_data,Random null injection (6%)
customers,19138,C235526,phone,+90 581 838 9413,NULL,missing_data,Random null injection (6%)
customers,26022,C105600,phone,+90 579 873 7128,NULL,missing_data,Random null injection (6%)
customers,41898,C180420,phone,+90 512 853 4986,NULL,missing_data,Random null injection (6%)
customers,31726,C121064,phone,+90 509 380 4494,NULL,missing_data,Random null injection (6%)
customers,20449,C265949,phone,+90 569 779 1064,NULL,missing_data,Random null injection (6%)
customers,64806,C252460,phone,+90 574 558 2435,NULL,missing_data,Random null injection (6%)
customers,66684,C163541,phone,+90 506 296 7060,NULL,missing_data,Random null injection (6%)
customers,86213,C284672,phone,+90 566 164 1755,NULL,missing_data,Random null injection (6%)
customers,8258,C141132,phone,+90 591 607 8434,NULL,missing_data,Random null injection (6%)
customers,54483,C759250,phone,+90 543 972 3045,NULL,missing_data,Random null injection (6%)
customers,83881,C807385,phone,+49 178 2005515,NULL,missing_data,Random null injection (6%)
customers,27517,C300874,phone,+90 511 845 4255,NULL,missing_data,Random null injection (6%)
customers,63739,C205866,phone,+90 561 678 5355,NULL,missing_data,Random null injection (6%)
customers,62620,C116160,phone,+1 450-341-7307,NULL,missing_data,Random null injection (6%)
customers,27104,C313024,phone,+90 575 546 3574,NULL,missing_data,Random null injection (6%)
customers,27089,C111795,phone,+90 515 241 7336,NULL,missing_data,Random null injection (6%)
customers,38536,C645766,phone,+90 568 522 3119,NULL,missing_data,Random null injection (6%)
customers,37241,C246158,phone,+90 520 824 2227,NULL,missing_data,Random null injection (6%)
customers,62204,C192612,phone,+90 506 981 6290,NULL,missing_data,Random null injection (6%)
customers,52100,C943692,phone,+90 522 641 5015,NULL,missing_data,Random null injection (6%)
customers,22314,C123799,phone,+90 527 472 4813,NULL,missing_data,Random null injection (6%)
customers,41687,C336968,phone,+90 527 101 2158,NULL,missing_data,Random null injection (6%)
customers,14621,C308092,phone,+90 549 660 3638,NULL,missing_data,Random null injection (6%)
customers,8234,C235350,phone,+90 590 475 8749,NULL,missing_data,Random null injection (6%)
customers,66691,C299459,phone,+90 565 290 2385,NULL,missing_data,Random null injection (6%)
customers,95664,C239501,phone,+90 546 289 9755,NULL,missing_data,Random null injection (6%)
customers,64937,C150323,phone,+90 512 198 7124,NULL,missing_data,Random null injection (6%)
customers,6301,C228328,phone,+90 590 785 3413,NULL,missing_data,Random null injection (6%)
customers,53028,C177436,phone,+90 580 769 4099,NULL,missing_data,Random null injection (6%)
customers,64374,C145011,phone,+90 554 850 5031,NULL,missing_data,Random null injection (6%)
customers,23516,C894961,phone,+90 566 843 8378,NULL,missing_data,Random null injection (6%)
customers,20866,C106405,phone,+49 163 9491006,NULL,missing_data,Random null injection (6%)
customers,67365,C112091,phone,+1 384-671-8346,NULL,missing_data,Random null injection (6%)
customers,55903,C312962,phone,+49 168 3378121,NULL,missing_data,Random null injection (6%)
customers,80798,C200815,phone,+90 576 274 7009,NULL,missing_data,Random null injection (6%)
customers,87397,C123069,phone,+90 573 599 4262,NULL,missing_data,Random null injection (6%)
customers,31935,C822398,phone,+49 169 8868738,NULL,missing_data,Random null injection (6%)
customers,52153,C124067,phone,+1 785-274-6568,NULL,missing_data,Random null injection (6%)
customers,72073,C235711,phone,+90 576 870 5736,NULL,missing_data,Random null injection (6%)
customers,6635,C136129,phone,+90 586 501 6144,NULL,missing_data,Random null injection (6%)
customers,89700,C113485,phone,+1 998-578-2275,NULL,missing_data,Random null injection (6%)
customers,67751,C288657,phone,+90 581 757 2203,NULL,missing_data,Random null injection (6%)
customers,72987,C134424,phone,+90 510 356 8680,NULL,missing_data,Random null injection (6%)
customers,28762,C110014,phone,+90 544 601 1623,NULL,missing_data,Random null injection (6%)
customers,23833,C307090,phone,+90 594 419 4951,NULL,missing_data,Random null injection (6%)
customers,65051,C303984,phone,+90 538 809 7860,NULL,missing_data,Random null injection (6%)
customers,33722,C706111,phone,+90 544 361 6022,NULL,missing_data,Random null injection (6%)
customers,96457,C294983,phone,+90 510 780 7258,NULL,missing_data,Random null injection (6%)
customers,90088,C339635,phone,+90 567 860 6656,NULL,missing_data,Random null injection (6%)
customers,58798,C724728,phone,+49 160 8041517,NULL,missing_data,Random null injection (6%)
customers,2990,C123701,phone,+90 534 597 4587,NULL,missing_data,Random null injection (6%)
customers,95359,C708058,phone,+90 559 713 1563,NULL,missing_data,Random null injection (6%)
customers,77173,C174892,phone,+49 172 9509224,NULL,missing_data,Random null injection (6%)
customers,58456,C108383,phone,+1 418-424-8236,NULL,missing_data,Random null injection (6%)
customers,36288,C685699,phone,+49 178 3557511,NULL,missing_data,Random null injection (6%)
customers,55280,C110509,phone,+1 861-802-4453,NULL,missing_data,Random null injection (6%)
customers,16708,C516301,phone,+49 171 8464194,NULL,missing_data,Random null injection (6%)
customers,5685,C311575,phone,+90 523 668 9457,NULL,missing_data,Random null injection (6%)
customers,51793,C200274,phone,+90 520 288 8147,NULL,missing_data,Random null injection (6%)
customers,24394,C217583,phone,+90 527 866 9366,NULL,missing_data,Random null injection (6%)
customers,57774,C334629,phone,+90 535 583 4452,NULL,missing_data,Random null injection (6%)
customers,27760,C245259,phone,+90 511 780 1772,NULL,missing_data,Random null injection (6%)
customers,4879,C303023,phone,+1 654-425-3229,NULL,missing_data,Random null injection (6%)
customers,77645,C220975,phone,+90 571 671 2919,NULL,missing_data,Random null injection (6%)
customers,14087,C307637,phone,+90 565 518 4186,NULL,missing_data,Random null injection (6%)
customers,47,C241642,phone,+90 530 385 8953,NULL,missing_data,Random null injection (6%)
customers,25093,C245818,phone,+90 528 422 1219,NULL,missing_data,Random null injection (6%)
customers,73296,C662307,phone,+90 576 839 2234,NULL,missing_data,Random null injection (6%)
customers,87956,C173226,phone,+90 559 666 3101,NULL,missing_data,Random null injection (6%)
customers,76518,C158401,phone,+90 506 288 6412,NULL,missing_data,Random null injection (6%)
customers,92239,C282218,phone,+90 586 465 3905,NULL,missing_data,Random null injection (6%)
customers,85388,C297540,phone,+90 579 272 6614,NULL,missing_data,Random null injection (6%)
customers,8850,C196289,phone,+90 553 877 1832,NULL,missing_data,Random null injection (6%)
customers,55273,C122358,phone,+49 173 2418304,NULL,missing_data,Random null injection (6%)
customers,13909,C315377,phone,+90 526 249 7321,NULL,missing_data,Random null injection (6%)
customers,46539,C245980,phone,+49 172 9574540,NULL,missing_data,Random null injection (6%)
customers,77259,C953304,phone,+90 566 638 5940,NULL,missing_data,Random null injection (6%)
customers,73817,C698506,phone,+90 574 967 3780,NULL,missing_data,Random null injection (6%)
customers,87727,C135114,phone,+90 554 925 6400,NULL,missing_data,Random null injection (6%)
customers,95371,C216561,phone,+90 584 464 3562,NULL,missing_data,Random null injection (6%)
customers,45967,C219191,phone,+90 548 876 7794,NULL,missing_data,Random null injection (6%)
customers,56572,C295014,phone,+90 502 714 9013,NULL,missing_data,Random null injection (6%)
customers,76125,C251829,phone,+90 500 513 4681,NULL,missing_data,Random null injection (6%)
customers,54818,C316318,phone,+90 522 619 9863,NULL,missing_data,Random null injection (6%)
customers,97933,C245574,phone,+90 576 296 9680,NULL,missing_data,Random null injection (6%)
customers,45022,C705346,phone,+90 541 890 5368,NULL,missing_data,Random null injection (6%)
customers,66021,C208510,phone,+90 541 457 2142,NULL,missing_data,Random null injection (6%)
customers,9360,C258903,phone,+90 543 112 3773,NULL,missing_data,Random null injection (6%)
customers,187,C221934,phone,+90 572 411 2395,NULL,missing_data,Random null injection (6%)
customers,62958,C881457,phone,+90 583 939 9796,NULL,missing_data,Random null injection (6%)
customers,63809,C308220,phone,+90 500 817 8210,NULL,missing_data,Random null injection (6%)
customers,75114,C257705,phone,+90 573 335 5194,NULL,missing_data,Random null injection (6%)
customers,73322,C183143,phone,+90 504 317 1793,NULL,missing_data,Random null injection (6%)
customers,90551,C196142,phone,+90 543 365 1535,NULL,missing_data,Random null injection (6%)
customers,63211,C125342,phone,+90 581 723 7334,NULL,missing_data,Random null injection (6%)
customers,59468,C370861,phone,+90 522 150 7206,NULL,missing_data,Random null injection (6%)
customers,8924,C783567,phone,+49 158 6864840,NULL,missing_data,Random null injection (6%)
customers,71771,C170220,phone,+90 538 771 5769,NULL,missing_data,Random null injection (6%)
customers,15942,C257631,phone,+90 545 782 9582,NULL,missing_data,Random null injection (6%)
customers,48857,C310174,phone,+90 527 396 8413,NULL,missing_data,Random null injection (6%)
customers,59320,C165788,phone,+90 515 651 6577,NULL,missing_data,Random null injection (6%)
customers,91682,C101531,phone,+49 168 7159632,NULL,missing_data,Random null injection (6%)
customers,34387,C339294,phone,+90 563 382 5879,NULL,missing_data,Random null injection (6%)
customers,7762,C362810,phone,+90 550 347 2435,NULL,missing_data,Random null injection (6%)
customers,79151,C524985,phone,+90 594 710 2929,NULL,missing_data,Random null injection (6%)
customers,11124,C130369,phone,+90 588 194 3610,NULL,missing_data,Random null injection (6%)
customers,16814,C903649,phone,+49 152 8126833,NULL,missing_data,Random null injection (6%)
customers,97990,C120372,phone,+49 161 4422820,NULL,missing_data,Random null injection (6%)
customers,62786,C847039,phone,+90 552 364 4519,NULL,missing_data,Random null injection (6%)
customers,2223,C330332,phone,+90 563 204 9784,NULL,missing_data,Random null injection (6%)
customers,82956,C153048,phone,+49 157 3740881,NULL,missing_data,Random null injection (6%)
customers,23896,C209975,phone,+90 561 911 2543,NULL,missing_data,Random null injection (6%)
customers,33183,C273131,phone,+90 572 335 8239,NULL,missing_data,Random null injection (6%)
customers,46663,C125821,phone,+49 179 4821923,NULL,missing_data,Random null injection (6%)
customers,52468,C590158,phone,+90 567 190 2550,NULL,missing_data,Random null injection (6%)
customers,16671,C205007,phone,+90 593 240 1121,NULL,missing_data,Random null injection (6%)
customers,75110,C648709,phone,+90 512 543 5992,NULL,missing_data,Random null injection (6%)
customers,5773,C104532,phone,+90 576 893 5394,NULL,missing_data,Random null injection (6%)
customers,58590,C177930,phone,+49 166 5299640,NULL,missing_data,Random null injection (6%)
customers,78600,C745848,phone,+90 517 755 6604,NULL,missing_data,Random null injection (6%)
customers,69392,C307899,phone,+90 570 254 6355,NULL,missing_data,Random null injection (6%)
customers,78392,C255690,phone,+90 513 111 9098,NULL,missing_data,Random null injection (6%)
customers,92624,C318866,phone,+90 549 448 8035,NULL,missing_data,Random null injection (6%)
customers,30669,C146314,phone,+90 556 144 8451,NULL,missing_data,Random null injection (6%)
customers,72583,C178054,phone,+90 567 459 4704,NULL,missing_data,Random null injection (6%)
customers,81677,C219487,phone,+90 569 641 2783,NULL,missing_data,Random null injection (6%)
customers,67540,C135636,phone,+1 870-456-4083,NULL,missing_data,Random null injection (6%)
customers,58257,C253325,phone,+49 159 1667239,NULL,missing_data,Random null injection (6%)
customers,50758,C786300,phone,+90 567 704 8614,NULL,missing_data,Random null injection (6%)
customers,15681,C128895,phone,+90 584 628 9551,NULL,missing_data,Random null injection (6%)
customers,42149,C843325,phone,+90 516 494 1654,NULL,missing_data,Random null injection (6%)
customers,27844,C166270,phone,+90 537 937 6556,NULL,missing_data,Random null injection (6%)
customers,95869,C197288,phone,+90 593 452 9948,NULL,missing_data,Random null injection (6%)
customers,57967,C245660,phone,+90 587 232 5790,NULL,missing_data,Random null injection (6%)
customers,20882,C232329,phone,+90 554 285 4741,NULL,missing_data,Random null injection (6%)
customers,53844,C286292,phone,+90 584 365 5936,NULL,missing_data,Random null injection (6%)
customers,61,C716161,phone,+90 589 848 8973,NULL,missing_data,Random null injection (6%)
customers,91907,C109185,phone,+49 154 8086380,NULL,missing_data,Random null injection (6%)
customers,73012,C320309,phone,+49 155 2307087,NULL,missing_data,Random null injection (6%)
customers,81861,C240655,phone,+90 551 177 4573,NULL,missing_data,Random null injection (6%)
customers,19796,C332003,phone,+90 573 773 3074,NULL,missing_data,Random null injection (6%)
customers,31630,C199330,phone,+49 179 8899755,NULL,missing_data,Random null injection (6%)
customers,96656,C794654,phone,+90 514 508 4375,NULL,missing_data,Random null injection (6%)
customers,79956,C312397,phone,+90 556 929 9214,NULL,missing_data,Random null injection (6%)
customers,20236,C128297,phone,+90 571 978 3607,NULL,missing_data,Random null injection (6%)
customers,80611,C255998,phone,+90 528 603 5725,NULL,missing_data,Random null injection (6%)
customers,82632,C367338,phone,+90 598 871 8314,NULL,missing_data,Random null injection (6%)
customers,79692,C141592,phone,+90 515 231 6144,NULL,missing_data,Random null injection (6%)
customers,83429,C132996,phone,+90 562 212 5070,NULL,missing_data,Random null injection (6%)
customers,1183,C108465,phone,+90 548 694 2650,NULL,missing_data,Random null injection (6%)
customers,99430,C316368,phone,+49 177 1432003,NULL,missing_data,Random null injection (6%)
customers,12631,C242992,phone,+90 564 543 4854,NULL,missing_data,Random null injection (6%)
customers,75406,C329127,phone,+90 583 422 4744,NULL,missing_data,Random null injection (6%)
customers,50329,C331380,phone,+90 544 905 7974,NULL,missing_data,Random null injection (6%)
customers,86405,C310699,phone,+1 225-998-4904,NULL,missing_data,Random null injection (6%)
customers,75161,C171846,phone,+90 524 260 5613,NULL,missing_data,Random null injection (6%)
customers,6478,C293829,phone,+90 554 292 2175,NULL,missing_data,Random null injection (6%)
customers,22910,C169897,phone,+90 559 786 8936,NULL,missing_data,Random null injection (6%)
customers,24934,C258239,phone,+49 161 9310504,NULL,missing_data,Random null injection (6%)
customers,731,C114347,phone,+90 509 235 4705,NULL,missing_data,Random null injection (6%)
customers,41302,C148589,phone,+90 561 701 5147,NULL,missing_data,Random null injection (6%)
customers,88190,C119732,phone,+90 545 451 8648,NULL,missing_data,Random null injection (6%)
customers,14155,C711989,phone,+90 506 196 5673,NULL,missing_data,Random null injection (6%)
customers,79033,C139874,phone,+1 728-747-6301,NULL,missing_data,Random null injection (6%)
customers,34785,C319719,phone,+90 565 766 8875,NULL,missing_data,Random null injection (6%)
customers,99080,C193904,phone,+90 587 632 6330,NULL,missing_data,Random null injection (6%)
customers,23672,C465082,phone,+1 891-959-2755,NULL,missing_data,Random null injection (6%)
customers,65701,C298720,phone,+90 519 970 8955,NULL,missing_data,Random null injection (6%)
customers,19117,C951516,phone,+90 534 945 8888,NULL,missing_data,Random null injection (6%)
customers,38075,C225430,phone,+90 576 262 5123,NULL,missing_data,Random null injection (6%)
customers,65512,C266301,phone,+90 555 320 1130,NULL,missing_data,Random null injection (6%)
customers,20671,C112044,phone,+49 177 3525681,NULL,missing_data,Random null injection (6%)
customers,35978,C203733,phone,+90 585 574 3770,NULL,missing_data,Random null injection (6%)
customers,64024,C276295,phone,+90 569 633 8219,NULL,missing_data,Random null injection (6%)
customers,52081,C242628,phone,+90 514 673 3962,NULL,missing_data,Random null injection (6%)
customers,29704,C135911,phone,+90 502 303 5641,NULL,missing_data,Random null injection (6%)
customers,84416,C320476,phone,+90 532 749 8018,NULL,missing_data,Random null injection (6%)
customers,74211,C950462,phone,+90 513 861 3492,NULL,missing_data,Random null injection (6%)
