customer_id,first_name,last_name,street,city,region,postal_code,country,phone,email,tax_id,account_group,sales_org,distribution_channel,division,currency,payment_terms,credit_limit,language,created_date,gender,age,payment_method,_duplicate,reject_reason
C132179,Sidki,Yıldırım,52153 İhsanoğlu Shoals Suite 205,Ankara,Black Sea,16645,TR,,,85749364367,Z001,3000,10,00,TRY,NT00,0.0,TR,2021-05-12,F,51.0,Cash,False,R1: no phone or email
C923564,,Adler,Evelyne-Naser-Allee 2-1,Mainburg,Brandenburg,88234,DE,+491747481509,christa-maria.adler@icloud.com,36330063773,ZKAM,1000,10,00,EUR,NT00,0.0,DE,2022-05-21,F,,Credit Card,False,missing first_name
C133801,Bilginur,,7710 Gül Cliffs Suite 805,Istanbul,Central Anatolia,50773,TR,,bilginur.çamurcuoğlu@hotmail.com,,Z001,2000,10,00,TRY,NT00,0.0,TR,2024-10-22,F,30.0,Credit Card,False,missing last_name
C123069,,Hayrioğlu,0868 Yılmaz Lake,Ankara,Marmara,61741,TR,,,50227448151,ZKAM,2000,10,00,TRY,NT30,1000.0,TR,2022-08-16,F,68.0,Credit Card,False,missing first_name; R1: no phone or email
C251701,Jan-Peter,,Katerina-Stiffel-Straße 4-2,Sulzbach-Rosenberg,Schleswig-Holstein,13442,DE,+491688134339,jan-peter.mühle@gmail.com,23815982575,Z001,2000,10,00,EUR,NT30,25000.0,DE,2022-04-22,M,42.0,Cash,False,missing last_name
C133262,Güldünya,,316 Sezer Camp Suite 497,Konya,Black Sea,34683,TR,+905397359831,güldünya.manço@outlook.com,18555092768,Z001,3000,10,00,TRY,NT15,0.0,TR,2022-03-14,F,49.0,Credit Card,False,missing last_name
C245944,,Sezer,9482 Demirel Highway Suite 763,Adana,Aegean,39093,TR,5619319386,ayşeana.sezer@icloud.com,87310751445,Z001,1000,10,00,TRY,NT00,1000.0,TR,2023-10-19,F,68.0,Cash,False,missing first_name
C213324,Ortwin,,Mara-Mende-Gasse 1/7,Klötze,Baden-Württemberg,50309,DE,1763459295,ortwin.keudel@gmail.com,00973977836,Z001,1000,10,00,EUR,NT15,10000.0,DE,2020-02-29,F,61.0,Credit Card,False,missing last_name
C242624,Jason,Moore,3808 Hayden Run,West Thomasburgh,AR,61173,US,,,75-7407286,Z001,1000,10,00,USD,NT15,5000.0,EN,2022-08-04,F,47.0,Cash,False,R1: no phone or email
C173206,,Karadeniz,351 Bilgin Canyon,Konya,Black Sea,80307,TR,+905614705794,güleğen.karadeniz@gmail.com,98483445290,Z002,3000,10,00,TRY,NT00,1000.0,TR,2024-06-12,M,31.0,Cash,False,missing first_name
C307353,,Şama,374 Duran Shore Suite 398,Ankara,,36849,TR,+905674953563,giz.şama@yahoo.com,,Z002,1000,10,00,TRY,NT15,0.0,TR,2024-12-14,M,39.0,Cash,False,missing first_name
C654506,,Alemdar,68923 Doğuhan Trail,Konya,,84307,TR,+905043772413,karabaş.alemdar@outlook.com,56523843567,Z001,2000,10,00,TRY,NT30,0.0,TR,2022-02-05,F,21.0,Debit Card,False,missing first_name
C276026,Faize,,20007 Eryıldız Manors,Gaziantep,Aegean,57050,TR,+905971743722,faize.zorlu@yahoo.com,42072447726,Z002,3000,10,00,TRY,NT00,5000.0,TR,2022-11-22,M,59.0,Cash,False,missing last_name
C241939,Köker,Sakarya,564 Selvi Port Suite 903,Antalya,Aegean,22233,TR,,,37789745153,Z002,3000,10,10,TRY,NT00,5000.0,TR,2022-11-15,M,27.0,Credit Card,False,R1: no phone or email
C192088,Şahıgül,Çamurcuoğlu,165 Akçay Throughway Suite 306,Istanbul,Mediterranean,74526,,+905566594026,,16029173209,Z001,2000,10,00,TRY,NT00,0.0,TR,2024-05-26,M,24.0,Cash,False,R3: missing country
C119090,,Şafak,00784 Arslan River Suite 954,Izmir,Mediterranean,12895,TR,+905207769443,melûl.şafak@yahoo.com,37054643873,Z001,1000,10,00,TRY,NT45,5000.0,TR,2024-09-29,M,39.0,Cash,False,missing first_name
C678074,,Akar,4466 Toktuğ Alley,Gaziantep,Mediterranean,47255,TR,+905084839776,selmin.akar@yahoo.com,78237900424,Z001,1000,10,00,TRY,NT00,1000.0,TR,2020-06-20,F,26.0,Debit Card,False,missing first_name
C238664,Jacek,,Anastasios-Biggen-Straße 43/76,Ochsenfurt,,27792,DE,+491572529355,jacek.matthäi@outlook.com,56438841374,Z001,1000,20,00,EUR,NT00,1000.0,DE,2024-08-11,M,38.0,Credit Card,False,missing last_name
C635857,Erten,,454 Azettin Cove Suite 567,Ankara,Aegean,05814,TR,+905131425336,erten.i̇hsanoğlu@hotmail.com,88472045500,Z001,1000,20,10,TRY,NT45,5000.0,TR,2021-08-02,F,37.0,Debit Card,False,missing last_name
C842661,Ağbegim,Eraslan,43096 Akçay Vista Suite 875,Adana,Central Anatolia,88044,TR,,,89622278344,Z002,1000,10,00,TRY,NT00,0.0,TR,2022-10-03,F,37.0,Credit Card,False,R1: no phone or email
C181222,,İhsanoğlu,0346 Gülkadın Square,Izmir,Aegean,01853,TR,,özyurt.i̇hsanoğlu@outlook.com,98712963508,ZKAM,1000,20,00,TRY,NT30,1000.0,TR,2023-09-01,F,60.0,Cash,False,missing first_name
C308443,,Aslan,59963 Gül Isle Suite 627,Konya,Aegean,72244,TR,+905992154250,çıdal.aslan@hotmail.com,37846139113,Z001,1000,10,00,TRY,NT00,0.0,TR,2020-11-12,M,60.0,Debit Card,False,missing first_name
C208545,,Arslan,571 Manço Estate Suite 109,Izmir,Marmara,73852,TR,+905572768292,kaşif.arslan@hotmail.com,95654226022,Z001,1000,10,00,TRY,NT15,1000.0,TR,2022-08-20,F,31.0,Debit Card,False,missing first_name
C233216,Nasuf,,9151 Arslan Walk Suite 198,Konya,Black Sea,19761,TR,05949294774,nasuf.mansız@icloud.com,14868396351,Z001,2000,10,00,TRY,NT45,5000.0,TR,2024-11-16,F,69.0,Debit Card,False,missing last_name
C217588,,Dumanlı,57663 Karabaş Radial,Ankara,Marmara,89115,TR,+905979498753,günser.dumanlı@gmail.com,92285491340,Z001,1000,10,10,TRY,NT15,25000.0,TR,2022-12-29,F,49.0,Credit Card,False,missing first_name
C301710,,Sezgin,12540 Bilir Road,Adana,Mediterranean,01962,TR,+905906136662,tonguç.sezgin@outlook.com,99237090860,ZKAM,1000,10,00,TRY,NT00,10000.0,TR,2020-01-20,F,34.0,Cash,False,missing first_name
C127503,Friedhold,,Ursel-auch Schlauchin-Platz 7175,Erkelenz,Sachsen,31159,DE,+491632698996,friedhold.mosemann@gmail.com,91131762117,Z002,1000,10,00,EUR,NT15,1000.0,DE,2021-05-28,M,,Debit Card,False,missing last_name
C159075,,Sakarya,000 Demir Orchard,Konya,Marmara,96506,TR,,nurey.sakarya@hotmail.com,80072099333,ZKAM,1000,10,00,TRY,NT00,5000.0,TR,2022-06-29,M,64.0,Cash,False,missing first_name
C139409,,George,1110 Roberts Run,Brandychester,VT,60617,US,7166679953,robert.george@gmail.com,94-1559920,Z001,1000,10,00,USD,NT00,0.0,EN,2021-04-13,F,37.0,Debit Card,False,missing first_name
C170474,Anne-Katrin,Müller,Denis-Zahn-Straße 98,Wunsiedel,Thüringen,74383,,+491698064287,anne-katrin.müller@hotmail.com,30516603048,Z001,2000,10,00,EUR,NT45,10000.0,DE,2024-12-19,M,59.0,Credit Card,False,R3: missing country
C996267,Bekbay,,7339 Vafir Lodge Apt. 024,Bursa,Aegean,19394,TR,+905728264692,bekbay.şener@gmail.com,79445043349,Z002,2000,10,00,TRY,NT60,0.0,TR,2021-12-07,F,,Cash,False,missing last_name
C579315,Özgür,Korutürk,12435 Pehlil Station,Konya,Marmara,66618,TR,,,91492265815,Z002,2000,10,00,TRY,NT45,1000.0,TR,2020-04-22,F,63.0,Credit Card,False,R1: no phone or email
C140591,Eskinalp,,6855 Avşin Road,Adana,Central Anatolia,16763,TR,+905334531282,eskinalp.akdeniz@outlook.com,67314968556,Z001,1000,10,00,TRY,NT45,5000.0,TR,2020-07-27,M,47.0,Cash,False,missing last_name
C314788,Şükri,,79178 Tevetoğlu Key,Konya,Black Sea,85095,TR,,,28558420534,Z002,1000,20,00,TRY,NT30,1000.0,TR,2020-01-31,F,33.0,Cash,False,missing last_name; R1: no phone or email
C311767,Karl,,Trommlerallee 65/82,Fürstenwalde,Nordrhein-Westfalen,18105,DE,1504656027,karl.kuhl@hotmail.com,43742147722,Z002,2000,10,00,EUR,NT00,1000.0,DE,2021-09-15,M,53.0,Cash,False,missing last_name
C997246,Arnfried,Kuhl,Ruppertstr. 7341,Herzberg,,80600,,+491772629130,arnfried.kuhl@hotmail.com,20218888797,Z001,1000,10,00,EUR,NT00,0.0,DE,2024-08-25,M,19.0,Debit Card,False,R3: missing country
C420727,Rasul,,61718 Ülker Key,Adana,Black Sea,81286,TR,+905054579400,rasul.gül@gmail.com,54951394786,Z002,1000,20,00,TRY,NT45,5000.0,TR,2023-09-27,F,21.0,Cash,False,missing last_name
C238922,Aygönenç,İhsanoğlu,27401 Müsemma Trail,Konya,Central Anatolia,56165,,05128757999,aygönenç.i̇hsanoğlu@outlook.com,40519191562,Z001,1000,10,00,TRY,NT15,5000.0,TR,2020-01-23,M,24.0,Credit Card,False,R3: missing country
C263884,,Şener,78162 Esengün Locks Apt. 256,Ankara,Mediterranean,09204,TR,+905535293277,gülşeref.şener@outlook.com,89022049236,Z001,3000,10,00,TRY,NT30,5000.0,TR,2021-07-13,F,40.0,Debit Card,False,missing first_name
C596844,Sulhi,Gülen,080 Yorulmaz Divide Apt. 202,Gaziantep,Aegean,32835,TR,,,23136925236,Z001,2000,10,00,TRY,NT00,1000.0,TR,2021-03-17,F,50.0,Debit Card,False,R1: no phone or email
C326582,Yalazabay,Seven,12138 Egenur Plains,Antalya,Central Anatolia,24881,,+905464425986,yalazabay.seven@hotmail.com,04855491841,ZKAM,1000,10,00,TRY,NT00,5000.0,TR,2024-11-18,,21.0,Credit Card,False,R3: missing country
C720219,Onat,Gülen,4714 Arifcan Crest Suite 688,Izmir,Central Anatolia,85716,TR,,,,Z001,2000,20,00,TRY,NT30,50000.0,TR,2020-11-02,F,48.0,Debit Card,False,R1: no phone or email
C197284,Lisa,Rogers,3392 Green Light,North Christopher,KS,70141,,02846375590,lisa.rogers@yahoo.com,58-3294062,Z001,2000,10,00,USD,NT45,10000.0,EN,2022-06-25,F,67.0,Debit Card,False,R3: missing country
C196963,Ferinaz,Demir,94502 Soydaner Pike,Ankara,Marmara,02924,,+905453739121,ferinaz.demir@hotmail.com,42212935715,Z001,1000,10,00,TRY,NT60,1000.0,TR,2020-09-17,F,45.0,Cash,False,R3: missing country
C219826,Burakhan,,3189 Durdu Key,Istanbul,Black Sea,48965,TR,5897966366,burakhan.erdoğan@gmail.com,50146986794,Z001,2000,10,00,TRY,NT00,10000.0,TR,2022-03-31,M,58.0,Cash,False,missing last_name
C320648,Cannur,Hayrioğlu,3099 Çelem Lakes,Adana,,04308,TR,,,98024107587,Z001,3000,20,00,TRY,NT30,0.0,TR,2022-02-13,M,18.0,Credit Card,False,R1: no phone or email
C313451,THERESA,Wang,2507 Rogers Lock Suite 380,North Patriciachester,NC,63184,,+12507236518,theresa.wang@yahoo.com,67-7591932,Z001,1000,10,00,USD,NT15,0.0,EN,2021-11-04,F,18.0,Cash,False,R3: missing country
C261741,Yilmaz,,658 Gülenay Plains Apt. 068,Ankara,Aegean,68998,TR,+905456467821,yilmaz.zorlu@icloud.com,98399278075,Z001,1000,10,00,TRY,NT00,50000.0,TR,2022-10-26,F,56.0,Cash,False,missing last_name
C111057,Asu,Alemdar,52035 Cansin Parkways Suite 666,Konya,Black Sea,75280,,+905877442372,asu.alemdar@hotmail.com,98672106864,Z001,1000,20,00,TRY,NT00,0.0,TR,2023-03-16,F,24.0,Credit Card,False,R3: missing country
C256374,filit,Alemdar,43268 Meşhur Crossroad Apt. 828,Gaziantep,Aegean,71268,TR,,,87917860665,ZKAM,1000,10,00,TRY,NT45,5000.0,TR,2024-11-18,M,37.0,Cash,False,R1: no phone or email
C207227,Akise,Gülen,9809 Yaman Loop Apt. 349,Antalya,Aegean,45671,TR,,,11060990422,Z001,1000,20,00,TRY,NT30,1000.0,TR,2021-08-04,M,20.0,Credit Card,False,R1: no phone or email
C154605,,Röhricht,Knud-van der Dussen-Weg 4,Querfurt,Saarland,70633,DE,+491628043026,heinz-gerd.röhricht@gmail.com,54512248438,ZKAM,1000,10,00,EUR,NT00,1000.0,DE,2020-04-06,F,56.0,Credit Card,False,missing first_name
C224033,,Ertaş,227 Seven Junction Suite 777,Gaziantep,Marmara,79777,TR,+905667699803,mazlum.ertaş@yahoo.com,53027856416,Z001,1000,10,10,TRY,NT00,0.0,TR,2022-12-10,M,28.0,Debit Card,False,missing first_name
C118239,Açılay,,566 Tuğrulhan Court,Bursa,Aegean,43798,,05542423497,açılay.i̇hsanoğlu@gmail.com,37318151978,Z001,1000,10,00,TRY,NT00,1000.0,TR,2020-09-17,F,22.0,Cash,False,missing last_name; R3: missing country
C117134,Derek,,1099 Paul Island Apt. 706,West Wendy,KY,15278,US,5439063745,derek.hall@icloud.com,74-6045825,Z001,3000,10,00,USD,NT00,0.0,EN,2022-03-09,F,43.0,Credit Card,False,missing last_name
C137066,,,16306 Şener Street Suite 441,Konya,Marmara,88520,TR,+905286072166,sittik.tevetoğlu@icloud.com,53811148585,Z002,2000,10,00,TRY,NT00,0.0,TR,2022-10-13,F,60.0,Cash,False,missing first_name; missing last_name
C108362,,Fırat,55196 Sezgin Mill Apt. 691,Izmir,Central Anatolia,61730,TR,+905216544392,nurey.fırat@gmail.com,79539031423,Z002,1000,10,10,TRY,NT00,50000.0,TR,2024-07-06,F,44.0,Cash,False,missing first_name
C930416,Süha,GÜL,7858 Karadeniz Way,Ankara,Marmara,47577,,+905703595015,,,ZKAM,1000,20,00,TRY,NT00,5000.0,TR,2022-09-12,M,60.0,Debit Card,False,R3: missing country
C177021,,Curtis,4862 Drew Meadow Apt. 219,New Michaelland,Lake Brandy,29227,GB,+16299831517,andre.curtis@yahoo.com,GB907187238,Z002,1000,10,00,GBP,NT30,0.0,EN,2023-03-01,M,65.0,Debit Card,False,missing first_name
C185208,Gülev,Arslan,481 Fayize Greens,Izmir,Aegean,57881,TR,,,45155223006,Z002,1000,20,00,TRY,NT30,25000.0,TR,2021-05-18,F,37.0,Cash,False,R1: no phone or email
C970054,,Akçay,457 Şensoy Passage Apt. 947,Gaziantep,Central Anatolia,71550,TR,+905302598044,oğurata.akçay@icloud.com,15742902705,Z001,2000,10,00,TRY,NT00,1000.0,TR,2023-01-25,M,31.0,Credit Card,False,missing first_name
C994361,Akcivan,Hançer,2662 Ertaş Extensions Suite 192,Izmir,Marmara,76629,,+905379681404,,24852378789,ZKAM,1000,10,00,TRY,NT15,1000.0,TR,2022-09-27,M,19.0,Cash,False,R3: missing country
C793816,Nazende,,904 Karadeniz Tunnel,Izmir,Black Sea,28273,TR,+905286081956,nazende.akça@outlook.com,77987205857,Z001,1000,20,10,TRY,NT15,5000.0,TR,2020-07-31,F,55.0,Debit Card,False,missing last_name
C666083,Brad,Brown,35700 Brenda Ferry Apt. 432,Harperborough,NM,03402,US,,,73-6235628,Z001,1000,10,00,USD,NT45,0.0,EN,2021-01-27,F,61.0,Credit Card,False,R1: no phone or email
C140619,Nazende,,28160 Mansız Ville Suite 052,Istanbul,Central Anatolia,50861,TR,+905254309391,nazende.arsoy@hotmail.com,64791138863,ZKAM,2000,10,10,TRY,NT00,5000.0,TR,2024-08-07,M,66.0,Credit Card,False,missing last_name
C126344,Meinrad,,Schülerring 818,Genthin,Schleswig-Holstein,09502,DE,+491524855603,meinrad.hofmann@hotmail.com,47932776435,Z002,1000,10,00,EUR,NT45,0.0,DE,2024-12-24,M,36.0,Debit Card,False,missing last_name
C319183,Kifaye,,6915 Baydu Rapid Suite 249,Ankara,Aegean,08116,TR,+905712961977,kifaye.şensoy@hotmail.com,97667289231,ZKAM,1000,10,00,TRY,NT00,10000.0,TR,2020-05-30,M,23.0,Credit Card,False,missing last_name
C901073,Mijo,,Alexander-Reichmann-Weg 9956,Ludwigsburg,Mecklenburg-Vorpommern,83454,DE,+491605634322,mijo.neureuther@outlook.com,57378750157,Z001,1000,10,00,EUR,NT15,1000.0,DE,2024-04-15,F,21.0,Cash,False,missing last_name
C180967,,Tarhan,750 Yorulmaz Camp,Izmir,Marmara,99189,TR,+905831993641,,93905858491,Z002,1000,20,00,TRY,NT30,0.0,TR,2022-08-29,F,47.0,Cash,False,missing first_name
C190401,HIFZULLAH,Demir,5784 Türk Curve Suite 402,Istanbul,Black Sea,75692,,+905099635175,hıfzullah.demir@outlook.com,83648924236,Z002,1000,20,00,TRY,NT00,10000.0,TR,2023-01-06,F,48.0,Credit Card,False,R3: missing country
C276189,,Sezgin,31925 İsak Mall,Antalya,Marmara,88778,TR,+905673957488,serfinaz.sezgin@icloud.com,01902252693,ZKAM,2000,20,00,TRY,NT30,0.0,TR,2021-12-20,M,45.0,Credit Card,False,missing first_name
C196096,,Yorulmaz,2199 Benol Island Suite 677,Gaziantep,Marmara,51372,TR,+905661962362,bergen.yorulmaz@outlook.com,19721790552,Z001,1000,10,00,TRY,NT45,5000.0,TR,2022-03-16,M,24.0,Debit Card,False,missing first_name
C211910,Kopan,Yılmaz,8554 Duran Stream,Adana,Aegean,18912,TR,,,60686834972,Z002,2000,10,00,TRY,NT60,0.0,TR,2022-07-09,M,34.0,Credit Card,False,R1: no phone or email
C201506,,TEVETOĞLU,68688 Şafak Junctions Apt. 450,Gaziantep,Aegean,59292,TR,,,64897277440,ZKAM,2000,10,00,TRY,NT45,0.0,TR,2020-10-05,M,49.0,Debit Card,False,missing first_name; R1: no phone or email
C152219,Danilo,,Netteweg 41/69,Borken,Berlin,05245,DE,1584653682,,97725953750,Z001,1000,20,00,EUR,NT15,0.0,DE,2023-05-12,M,19.0,Cash,False,missing last_name
C264558,Esengün,Dumanlı,31794 Güçlü Fords Apt. 601,Antalya,Black Sea,31379,TR,,,68331399079,Z001,1000,10,00,TRY,NT00,0.0,TR,2024-05-14,F,32.0,Debit Card,False,R1: no phone or email
C201728,Krzysztof,Jacobi Jäckel,Ernst-Otto-Rose-Gasse 86,Eilenburg,Hessen,65545,,01507800653,,40318416186,ZKAM,1000,10,00,EUR,NT30,5000.0,DE,2024-12-02,M,33.0,Debit Card,False,R3: missing country
C334531,Sevican,,65621 Akdeniz Fork Suite 590,Istanbul,Marmara,43647,TR,+905279295990,sevican.zengin@gmail.com,68245583134,Z001,1000,10,00,TRY,NT00,0.0,TR,2021-07-06,F,55.0,Debit Card,False,missing last_name
C226630,Gabel,,168 Nehip Skyway Apt. 613,Bursa,Central Anatolia,63176,TR,5251783355,,47675179326,ZKAM,1000,20,00,TRY,NT00,5000.0,TR,2022-03-05,F,67.0,Credit Card,False,missing last_name
C106631,,Krause,Eggert-Rohleder-Platz 764,Lübeck,Hamburg,19998,DE,1706458357,frederic.krause@icloud.com,91312290385,ZKAM,1000,10,00,EUR,NT60,0.0,DE,2024-02-10,F,65.0,Cash,False,missing first_name
C480347,Gürelcem,,334 Akça Springs,Bursa,Black Sea,89241,TR,+905205145241,gürelcem.çorlu@yahoo.com,01610087464,ZKAM,1000,10,00,TRY,NT30,5000.0,TR,2021-06-26,F,55.0,Cash,False,missing last_name
C186156,Dursadiye,Bilgin,65694 Aycagül Row,Ankara,Aegean,54642,,+905063836103,,73541960046,Z001,1000,10,00,TRY,NT45,0.0,TR,2023-11-04,F,52.0,Debit Card,False,R3: missing country
C318836,Rehime,,79489 Şener Lights Apt. 633,Ankara,Black Sea,76762,TR,+905042258466,rehime.bilir@icloud.com,19197077891,Z001,1000,10,00,TRY,NT45,5000.0,TR,2021-02-11,F,18.0,Cash,False,missing last_name
C164347,,Fırat,10691 Ertaş Drives,Ankara,Aegean,03752,TR,+905267433617,toktuğ.fırat@hotmail.com,20185941679,Z001,1000,10,00,TRY,NT45,0.0,TR,2022-07-19,F,22.0,Debit Card,False,missing first_name
C229129,Yurdanur,Şama,191 Tümkurt Burgs Apt. 657,Adana,Mediterranean,75132,TR,,,96512567104,Z001,1000,10,00,TRY,NT60,25000.0,TR,2022-07-11,F,26.0,Cash,False,R1: no phone or email
C196951,Gülgen,,7374 Hoşkadem Highway Apt. 822,Izmir,,51173,TR,+905208138940,,54732021809,Z001,2000,10,00,TRY,NT00,10000.0,TR,2021-07-12,F,50.0,Credit Card,False,missing last_name
C203136,Mülâyim,,61050 Sezer Green Apt. 684,Izmir,Central Anatolia,40496,TR,+905643527222,mülâyim.şama@hotmail.com,50426044275,Z002,3000,10,00,TRY,NT45,0.0,TR,2023-10-24,M,36.0,Debit Card,False,missing last_name
C327970,Keith,Contreras,5023 Matthew Island,West Ginaberg,NM,49148,,+19398363169,keith.contreras@gmail.com,33-3093131,Z001,2000,10,00,USD,NT30,0.0,EN,2021-02-28,F,49.0,Credit Card,False,R3: missing country
C161609,,AKGÜNDÜZ,300 Ildız Lock Apt. 667,Antalya,Aegean,86828,TR,05171329438,sezginbaş.akgündüz@hotmail.com,21172294119,ZKAM,1000,20,00,TRY,NT15,0.0,TR,2021-02-19,F,54.0,Cash,False,missing first_name
C281889,Victoria,Hawkins,63714 James Cove Apt. 095,East Kristopher,PR,29071,US,,,40-4858456,Z001,1000,10,10,USD,NT00,5000.0,EN,2022-08-10,F,30.0,Cash,False,R1: no phone or email
C175930,Balca,Arsoy,4694 Milay Isle,Bursa,Aegean,05744,TR,,,96939463153,Z001,2000,10,00,TRY,NT00,5000.0,TR,2022-03-27,M,58.0,Cash,False,R1: no phone or email
C389009,Arpağ,,121 Duran Hollow,Bursa,Marmara,92589,TR,+905367762375,arpağ.türk@gmail.com,81668236540,Z001,1000,10,00,TRY,NT00,0.0,TR,2023-07-03,M,19.0,Cash,False,missing last_name
C324969,Benno,Gumprich,Helma-Käster-Weg 88/84,Ingolstadt,Bayern,75868,,+491778020973,benno.gumprich@gmail.com,39966304617,Z001,3000,20,00,EUR,NT30,0.0,DE,2021-03-08,F,65.0,Cash,False,R3: missing country
C233544,Markus,Hentschel,Wesackring 155,Ravensburg,Baden-Württemberg,88786,DE,,,79279324988,ZKAM,1000,10,00,EUR,NT00,0.0,DE,2022-07-21,F,41.0,Debit Card,False,R1: no phone or email
C288811,,İnönü,15297 Durmuş Land,Gaziantep,Aegean,38217,TR,,günver.i̇nönü@gmail.com,52088814183,Z001,1000,10,00,TRY,NT30,1000.0,TR,2020-01-11,F,65.0,Cash,False,missing first_name
C142015,Nurtaç,AKÇAY,293 Tevetoğlu Summit Apt. 493,Antalya,Aegean,40227,,+905318864628,nurtaç.akçay@hotmail.com,85603650664,Z002,1000,10,00,TRY,NT00,0.0,TR,2022-10-08,M,44.0,Credit Card,False,R3: missing country
C295002,,Tevetoğlu,8451 Gülçe Points Apt. 831,Istanbul,Central Anatolia,72488,TR,+905246013054,uludağ.tevetoğlu@hotmail.com,14434573659,Z001,1000,10,00,TRY,NT30,1000.0,TR,2020-03-06,M,68.0,Cash,False,missing first_name
C127994,,,460 Aslan Spur,Bursa,,70143,TR,+905922904681,tecimer.akçay@outlook.com,12137057604,Z001,1000,10,00,TRY,NT30,1000.0,TR,2022-12-22,F,58.0,Credit Card,False,missing first_name; missing last_name
C181606,KARAER,Hançer,2128 Özdil Ferry,Konya,Black Sea,04495,TR,,,71077141196,Z001,3000,10,00,TRY,NT15,0.0,TR,2021-11-14,F,26.0,Credit Card,False,R1: no phone or email
C107520,Gülözge,Demirel,03517 AkÃ§a Route Suite 659,Bursa,,34514,TR,,,70608949985,ZKAM,1000,10,00,TRY,NT00,0.0,TR,2024-05-29,F,67.0,Debit Card,False,R1: no phone or email
C323530,Dinçsü,Akar,807 Aybet Curve,Antalya,Marmara,96998,,+905419704847,dinçsü.akar@hotmail.com,,Z001,1000,10,00,TRY,NT00,10000.0,TR,2024-07-26,F,22.0,Cash,False,R3: missing country
C323794,ditmar,,Diethelm-Schenk-Ring 8,Prenzlau,Berlin,74925,DE,+491622080618,ditmar.gehringer@icloud.com,48254194906,ZKAM,1000,10,00,EUR,NT00,1000.0,DE,2020-09-12,F,52.0,Credit Card,False,missing last_name
C783777,Gundolf,Scholtz,Bärerweg 9/9,Ravensburg,Berlin,86624,DE,,,55450637539,Z001,2000,10,00,EUR,NT00,0.0,DE,2021-10-18,F,39.0,Cash,False,R1: no phone or email
C591524,Brenda,George,81321 Nelson Oval,Smithland,,91550,,+15613161614,brenda.george@yahoo.com,15-1281566,Z001,2000,10,00,USD,NT30,5000.0,EN,2020-01-11,M,52.0,Cash,False,R3: missing country
C287791,,Şafak,0753 Durdu Roads Apt. 460,Ankara,,64004,TR,+905813553419,,12968866172,Z001,1000,10,00,TRY,NT15,0.0,TR,2022-02-12,F,69.0,Cash,False,missing first_name
